"Algorithm Name"	Type	"Graph Name"	"Average Time"	"Average Memory"	"Start Time"	"End Time"
"VectorVectorContainer"	ParallelInplace#4	"bn-human-BNU_1_0025871_session_1-bg_170M.edges"	4508.19	1.17863e+09	2022-May-31 20:27:02.762405	2022-May-31 20:27:16.499760
"VectorVectorContainer"	ParallelInplace#4	"bn-human-BNU_1_0025876_session_2-bg_140M.edges"	3703.25	9.94362e+08	2022-May-31 20:27:16.499855	2022-May-31 20:27:27.802164
"VectorVectorContainer"	ParallelInplace#4	"bn-human-Jung2015_M87117093_120M.edges"	3329.14	9.00024e+08	2022-May-31 20:27:27.802256	2022-May-31 20:27:37.997883
"VectorVectorContainer"	ParallelInplace#4	"data_files.txt"	0.941667	2400	2022-May-31 20:27:37.997968	2022-May-31 20:27:38.000804
"VectorVectorContainer"	ParallelInplace#4	"hugetric-00010_10M.mtx"	1683.62	1.36599e+09	2022-May-31 20:27:38.000931	2022-May-31 20:27:43.799036
"VectorVectorContainer"	ParallelInplace#4	"datafiles_par.txt"	0.277	2400	2022-May-31 20:27:43.802025	2022-May-31 20:27:43.802869
"VectorVectorContainer"	ParallelInplace#4	"bn-human-Jung2015_M87101705_200M.edges"	5412.89	1.34673e+09	2022-May-31 20:27:43.803026	2022-May-31 20:28:00.311841
"VectorVectorContainer"	ParallelInplace#4	"tech-as-skitter.mtx"	494.12	2.33501e+08	2022-May-31 20:28:00.311938	2022-May-31 20:28:01.910446
"VectorVectorContainer"	ParallelInplace#4	"socfb-Texas84.mtx"	62.865	1.42038e+07	2022-May-31 20:28:01.910549	2022-May-31 20:28:02.109621
"VectorVectorContainer"	ParallelInplace#4	"soc-pokec.mtx"	794.402	2.44824e+08	2022-May-31 20:28:02.109878	2022-May-31 20:28:04.712279
"VectorVectorContainer"	ParallelInplace#4	"web-wikipedia2009.mtx"	331.065	2.53611e+08	2022-May-31 20:28:04.712396	2022-May-31 20:28:05.799091
"VectorVectorContainer"	ParallelInplace#4	"ca-hollywood-2009.edges"	1554.31	4.5581e+08	2022-May-31 20:28:05.799193	2022-May-31 20:28:10.635443
"VectorVectorContainer"	ParallelInplace#4	"soc-google-plus.txt"	80.7887	3.87097e+07	2022-May-31 20:28:10.635536	2022-May-31 20:28:10.897740
